language,adapted-concept-num,concept-number,composite-score,leipzig-jakarta-concept,concept-original-reference,IPA,page_num
agr,97,97,0.691,star,star,yaya,
hub,97,97,0.691,star,estrella,yaa/yaan,p166
jiv,97,97,0.691,star,estrella,tsútsamiankú yáa,p283
acu,97,97,0.691,star,estrella,yaa,
agr,98,97,0.691,in,"inside, in",i'nitak,
hub,98,97,0.691,in,NA,NA,
jiv,98,97,0.691,in,en,initia,p253
acu,98,97,0.691,in,en,"-num, -nam",
agr,99,99,0.69,hard,hard,ka'c̷u-ham,
hub,99,99,0.69,hard,duro,katsuram,p161
jiv,99,99,0.69,hard,duro,katsuram/kakaram,p240
jiv,99,99,0.69,hard,duro,tee/tej,p240
acu,99,99,0.69,hard,duro,"pisu, káte. ",
agr,100,100,0.688,to crush/grind,"crush, grind",čanuut,
agr,100,100,0.688,to crush/grind,"crush, grind",dɨkɨɨt,
hub,100,100,0.688,to crush/grind,moler,nekegtasa/nekeamu/neket,p187
hub,100,100,0.688,to crush/grind,moler,naurtasa/naurmamu/naut,p187
jiv,100,100,0.688,to crush/grind,moler,nekenk,p459
acu,100,100,0.688,to crush/grind,moler,"nakéngtin, nekéngtin. ",p454
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
